ID,Text,Sentiment,Date_UTC,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_Normalized
52,Starting a new fitness challenge tomorrow! üí™,Positive,01/02/2023 8:00,FitnessChallenge,Facebook,#FitnessChallenge #NewBeginnings,22,45,UK,2023,2,1,8,Positive
53,Sunday bike ride through scenic trails.,Positive,01/02/2023 14:00,BikeExplorer,Instagram,#BikeRide #ScenicTrails,18,35,USA,2023,2,1,13,Positive
55,Can't believe the injustice happening in our society.,Anger,11/02/2023 9:00,SocialJustice,Twitter,#Injustice #Angry,20,40,Canada,2023,2,11,9,Anger
56,Feeling a sense of fear after watching a thriller movie.,Fear,11/02/2023 21:00,ThrillerFan,Instagram,#Fear #ThrillerMovie,15,30,USA,2023,2,11,21,Fear/Anxiety
57,Heartbroken after hearing the news about a natural disaster.,Sadness,12/02/2023 15:00,EmpathyFirst,Facebook,#Sadness #NaturalDisaster,25,50,India,2023,2,12,14,Sadness
58,The state of the world's environment is just disgusting.,Disgust,12/02/2023 18:00,EcoAwareness,Twitter,#Disgust #Environment,18,35,UK,2023,2,12,18,Disgust
59,Pure happiness: celebrating a loved one's achievement!,Happiness,13/02/2023 10:00,ProudFriend,Instagram,#Happiness #Celebration,30,60,USA,2023,2,13,10,Happiness
60,"Laughter is the best medicine""îenjoying a comedy show.",Joy,13/02/2023 20:00,ComedyFan,Facebook,#Joy #ComedyShow,22,45,Canada,2023,2,13,19,Joy
61,Sharing love and positive vibes with everyone! ‚ù§è,Love,14/02/2023 9:00,LoveSpreader,Twitter,#Love #SpreadLove,15,30,Australia,2023,2,14,8,Love
62,An amusing incident brightened up my day!,Amusement,14/02/2023 14:00,AmusedSoul,Instagram,#Amusement #FunTimes,18,35,UK,2023,2,14,14,Amusement
63,Enjoying a quiet evening with a book and some tea.,Enjoyment,14/02/2023 20:00,BookLoverAgain,Facebook,#Enjoyment #BookTime,25,50,Canada,2023,2,14,19,Joy
64,Admiring the beauty of nature during a peaceful hike.,Admiration,15/02/2023 12:00,NatureAdmirer,Twitter,#Admiration #Nature,20,40,USA,2023,2,15,11,Curiosity/Awe
65,Sending affectionate vibes to all my followers!,Affection,15/02/2023 16:00,AffectionSender,Instagram,#Affection #PositiveVibes,15,30,USA,2023,2,15,16,Love
66,Experiencing awe at the breathtaking sunset.,Awe,15/02/2023 21:00,AweStruck,Facebook,#Awe #Breathtaking,22,45,Australia,2023,2,15,20,Curiosity/Awe
67,Disappointed with the service at a local restaurant.,Disappointed,16/02/2023 9:00,FoodieGoneWrong,Twitter,#Disappointed #BadService,18,35,India,2023,2,16,9,Disappointment
68,A surprise gift from a friend made my day!,Surprise,16/02/2023 15:00,HappySurprise,Instagram,#Surprise #Gift,25,50,USA,2023,2,16,14,Surprise
69,Finding acceptance in the midst of life's challenges.,Acceptance,16/02/2023 18:00,AcceptanceSeeker,Facebook,#Acceptance #Challenges,15,30,Canada,2023,2,16,18,Reflective
70,Overflowing with adoration for my adorable pet! üêæ,Adoration,17/02/2023 11:00,PetAdorer,Twitter,#Adoration #PetLove,22,45,UK,2023,2,17,10,Love
71,Anticipating a thrilling adventure in the coming weeks.,Anticipation,17/02/2023 8:00,AdventureAwaits,Instagram,#Anticipation #Adventure,20,40,USA,2023,2,17,7,Anticipation
72,A bitter experience turned into a valuable lesson.,Bitter,17/02/2023 15:00,LearnFromBitter,Facebook,#BitterLesson #Growth,18,35,USA,2023,2,17,15,Resentment
73,Finding calmness in the midst of a busy day.,Calmness,18/02/2023 9:00,ZenMaster,Twitter,#Calmness #PeacefulMind,15,30,India,2023,2,18,9,Contentment
74,Confusion clouds my mind as I navigate through decisions.,Confusion,18/02/2023 14:00,ConfusedMind,Instagram,#Confusion #DecisionMaking,25,50,UK,2023,2,18,14,Neutral
75,Excitement building up for the upcoming vacation!,Excitement,18/02/2023 19:00,VacationDreamer,Facebook,#Excitement #TravelPlans,22,45,Canada,2023,2,18,18,Excitement
76,Kindness witnessed today restored my faith in humanity.,Kind,19/02/2023 12:00,KindnessPrevails,Twitter,#Kindness #Humanity,20,40,USA,2023,2,19,11,Compassion
77,Pride in achieving a personal milestone.,Pride,19/02/2023 16:00,PersonalAchiever,Instagram,#Pride #Milestone,30,60,Australia,2023,2,19,16,Pride
78,A moment of shame for not standing up against injustice.,Shame,19/02/2023 20:00,ReflectiveSelf,Facebook,#Shame #Injustice,15,30,India,2023,2,19,19,Shame
79,Fuming with anger after a heated argument.,Anger,20/02/2023 9:00,AngryDebater,Twitter,#Anger #Argument,20,40,Canada,2023,2,20,9,Anger
80,The fear of the unknown is keeping me up at night.,Fear,20/02/2023 21:00,FearfulDreamer,Instagram,#Fear #Unknown,15,30,USA,2023,2,20,21,Fear/Anxiety
81,Heartfelt sadness after bidding farewell to a dear friend.,Sadness,21/02/2023 15:00,FarewellHeart,Facebook,#Sadness #Farewell,25,50,India,2023,2,21,14,Sadness
82,The state of corruption in our society is utterly disgusting.,Disgust,21/02/2023 18:00,AntiCorruption,Twitter,#Disgust #Corruption,18,35,UK,2023,2,21,18,Disgust
83,Overflowing happiness: welcoming a new family member!,Happiness,22/02/2023 10:00,NewParentJoy,Instagram,#Happiness #NewFamilyMember,30,60,UK,2023,2,22,10,Happiness
84,"Laughter is the key to joy""îattending a stand-up comedy show.",Joy,22/02/2023 20:00,StandUpFan,Facebook,#Joy #StandUpComedy,22,45,Canada,2023,2,22,19,Joy
85,Sending love to all my followers on this beautiful day! ‚ù§è,Love,23/02/2023 9:00,LoveSender,Twitter,#Love #SpreadLove,15,30,Australia,2023,2,23,8,Love
86,"Amused by the antics of my pet""îit's pure amusement!",Amusement,23/02/2023 14:00,PetAmuser,Instagram,#Amusement #PetAntics,18,35,UK,2023,2,23,14,Amusement
87,"Enjoying every moment of this trip""îpure enjoyment!",Enjoyment,23/02/2023 20:00,TravelExplorer,Facebook,#Enjoyment #Travel,25,50,USA,2023,2,23,19,Joy
88,Admiring the dedication of volunteers at a local charity.,Admiration,24/02/2023 12:00,CharityAdmirer,Twitter,#Admiration #Volunteers,20,40,USA,2023,2,24,11,Curiosity/Awe
89,Sending affectionate vibes to friends and family.,Affection,24/02/2023 16:00,FamilyLover,Instagram,#Affection #FamilyLove,15,30,USA,2023,2,24,16,Love
90,Awe-struck by the beauty of the night sky.,Awe,24/02/2023 21:00,Stargazer,Facebook,#Awe #StarryNight,22,45,Australia,2023,2,24,20,Curiosity/Awe
91,Disappointed with the lack of progress in a personal project.,Disappointed,25/02/2023 9:00,ProjectStruggle,Twitter,#Disappointed #Project,18,35,India,2023,2,25,9,Disappointment
92,A surprise visit from an old friend brought tears of joy.,Surprise,25/02/2023 15:00,JoyfulReunion,Instagram,#Surprise #OldFriends,25,50,USA,2023,2,25,14,Surprise
93,Embracing acceptance of life's ups and downs.,Acceptance,25/02/2023 18:00,LifeAcceptance,Facebook,#Acceptance #LifeJourney,15,30,Canada,2023,2,25,18,Reflective
94,Overflowing adoration for a cute rescue puppy! üê∂,Adoration,26/02/2023 11:00,PuppyAdmirer,Twitter,#Adoration #PuppyLove,22,45,UK,2023,2,26,10,Love
95,Anticipating the release of a much-awaited movie.,Anticipation,26/02/2023 8:00,MovieBuff2,Instagram,#Anticipation #MovieRelease,20,40,Australia,2023,2,26,7,Anticipation
96,Bitter experience at the customer service department.,Bitter,26/02/2023 15:00,CustomerWoes,Facebook,#BitterExperience #CustomerService,18,35,USA,2023,2,26,15,Resentment
97,Finding calmness amidst the chaos of daily life.,Calmness,27/02/2023 9:00,CalmSoul,Twitter,#Calmness #InnerPeace,15,30,India,2023,2,27,9,Contentment
98,Confusion reigns as I try to make sense of recent events.,Confusion,27/02/2023 14:00,ConfusedMind2,Instagram,#Confusion #MakingSense,25,50,UK,2023,2,27,14,Neutral
99,Excitement building up for a surprise birthday party.,Excitement,27/02/2023 19:00,BirthdayExcite,Facebook,#Excitement #SurpriseParty,22,45,Canada,2023,2,27,18,Excitement
100,Witnessed an act of kindness that made my day.,Kind,28/02/2023 12:00,KindnessObserver,Twitter,#Kindness #ActsOfKindness,20,40,USA,2023,2,28,11,Compassion
101,Pride in completing a challenging fitness challenge.,Pride,28/02/2023 16:00,FitAchiever,Instagram,#Pride #FitnessChallengeCompleted,30,60,UK,2023,2,28,16,Pride
102,A moment of shame for not speaking up against injustice.,Shame,28/02/2023 20:00,ReflectiveSelf2,Facebook,#Shame #Injustice,15,30,India,2023,2,28,19,Shame
103,Reflecting on the beauty of diversity in our world.,Acceptance,01/03/2023 11:00,DiversityLover,Twitter,#Acceptance #Diversity,22,45,Australia,2023,3,1,10,Reflective
104,Excitement for a quiet evening with a good book.,Excitement,01/03/2023 14:00,BookwormJoy,Instagram,#Excitement #BookTime,18,35,USA,2023,3,1,13,Excitement
105,Feeling bitter about the unfairness in the workplace.,Bitter,01/03/2023 18:00,WorkplaceWoes,Twitter,#Bitter #Unfairness,15,30,Canada,2023,3,1,17,Resentment
106,Calmness prevails as I practice mindfulness.,Calmness,02/03/2023 18:00,MindfulMe,Facebook,#Calmness #Mindfulness,15,30,UK,2023,3,2,18,Contentment
107,Confusion surrounds me as I navigate through life's choices.,Confusion,02/03/2023 13:00,ConfusedMind3,Instagram,#Confusion #LifeChoices,30,60,USA,2023,3,2,13,Neutral
108,Excitement for a weekend road trip to explore new places.,Excitement,02/03/2023 17:00,RoadTripper2,Twitter,#Excitement #WeekendAdventure,25,50,India,2023,3,2,16,Excitement
109,Kindness witnessed today restores my faith in humanity.,Kind,03/03/2023 12:00,KindnessPrevails2,Facebook,#Kindness #HumanityRestored,22,45,USA,2023,3,3,11,Compassion
110,Pride in accomplishing personal and professional goals.,Pride,03/03/2023 15:00,GoalAchiever,Instagram,#Pride #Accomplishments,12,25,Canada,2023,3,3,14,Pride
111,Shame for not being true to my values in a difficult situation.,Shame,03/03/2023 12:00,ReflectiveSelf3,Twitter,#Shame #Integrity,15,30,UK,2023,3,3,12,Shame
112,"Revisiting old memories, feeling a sense of elation.",Elation,15/05/2010 15:00,NostalgiaFan,Twitter,#Elation #Memories,20,40,Canada,2010,5,15,15,Happiness
113,The victory of our team brought euphoria to the city.,Euphoria,10/08/2021 21:00,SportsFanatic,Instagram,#Euphoria #Victory,15,30,USA,2021,8,10,21,Happiness
114,"Embracing the beauty of nature, a moment of contentment.",Contentment,20/06/2011 15:00,NatureLover2,Facebook,#Contentment #Nature,25,50,India,2011,6,20,14,Contentment
115,"Meditating by the serene lake, finding inner peace.",Serenity,12/02/2022 18:00,ZenMaster2,Twitter,#Serenity #Meditation,18,35,UK,2022,2,12,18,Contentment
116,Overflowing with gratitude for life's blessings.,Gratitude,25/11/2012 10:00,ThankfulHeart,Instagram,#Gratitude #Blessed,30,60,Australia,2012,11,25,10,Gratitude
117,"Hopeful for a brighter tomorrow, despite challenges.",Hope,05/04/2013 20:00,OptimisticSoul,Facebook,#Hope #Optimism,22,45,USA,2013,4,5,19,Hope
118,Empowered to make a difference in my community.,Empowerment,14/09/2014 9:00,CommunityLeader,Twitter,#Empowerment #Community,15,30,UK,2014,9,14,8,Empowerment
119,Compassion in action: supporting a local charity event.,Compassion,18/07/2015 14:00,CharitySupporter,Instagram,#Compassion #CharityEvent,18,35,Canada,2015,7,18,14,Compassion
120,"A moment of tenderness, connecting with loved ones.",Tenderness,23/02/2016 20:00,LovingHeart,Facebook,#Tenderness #FamilyTime,25,50,UK,2016,2,23,19,Love
121,Arousal of excitement as I await a special announcement.,Arousal,30/10/2017 12:00,ExcitementFan,Twitter,#Arousal #Excitement,20,40,Australia,2017,10,30,11,Excitement
122,Enthusiastically diving into a new project.,Enthusiasm,15/06/2018 16:00,ProjectEnthusiast,Instagram,#Enthusiasm #NewProject,15,30,USA,2018,6,15,16,Excitement
123,Feeling a sense of fulfillment after reaching a milestone.,Fulfillment,28/03/2019 18:00,MilestoneAchiever,Facebook,#Fulfillment #Milestone,22,45,India,2019,3,28,18,Accomplishment
124,Reverence for the beauty of a historic landmark.,Reverence,11/11/2019 15:00,HistoryLover,Twitter,#Reverence #History,18,35,UK,2019,11,11,15,Curiosity/Awe
125,Elation after a surprise reunion with old friends.,Elation,02/04/2020 9:00,JoyfulReunion2,Instagram,#Elation #OldFriends,25,50,Canada,2020,4,2,9,Happiness
126,The euphoria of a live music concert under the stars.,Euphoria,19/06/2021 15:00,MusicEnthusiast,Facebook,#Euphoria #LiveMusic,15,30,USA,2021,6,19,14,Happiness
127,Contentment in the simplicity of a quiet Sunday.,Contentment,15/08/2010 10:00,SimpleJoys,Twitter,#Contentment #SundayMood,30,60,Australia,2010,8,15,10,Contentment
128,Serenity found in the pages of a favorite book.,Serenity,22/09/2011 20:00,BookLover3,Instagram,#Serenity #BookTime,22,45,UK,2011,9,22,19,Contentment
129,Gratitude for the support received during tough times.,Gratitude,10/03/2012 9:00,SupportiveFriend,Facebook,#Gratitude #Supportive,15,30,India,2012,3,10,8,Gratitude
130,Hopeful about the possibilities of a new journey.,Hope,05/12/2013 16:00,JourneyOptimist,Twitter,#Hope #NewBeginnings,18,35,Canada,2013,12,5,16,Hope
131,Empowerment through learning and personal growth.,Empowerment,20/07/2014 12:00,GrowthSeeker,Instagram,#Empowerment #PersonalGrowth,25,50,USA,2014,7,20,11,Empowerment
132,Compassion towards those in need during the holidays.,Compassion,22/12/2015 14:00,HolidayHelper,Facebook,#Compassion #HolidaySupport,18,35,USA,2015,12,22,14,Compassion
133,Tenderness in the warmth of a cozy winter evening.,Tenderness,10/02/2016 20:00,WinterWarmth,Twitter,#Tenderness #CozyEvening,25,50,UK,2016,2,10,19,Love
134,Arousal of excitement for an upcoming adventure.,Arousal,30/04/2017 12:00,AdventureAwaits,Instagram,#Arousal #AdventureTime,20,40,Australia,2017,4,30,11,Excitement
135,Enthusiasm for a creative project in the making.,Enthusiasm,15/09/2018 16:00,CreativeSpirit,Facebook,#Enthusiasm #Creativity,15,30,Canada,2018,9,15,16,Excitement
136,Fulfillment in completing a challenging workout routine.,Fulfillment,28/06/2019 18:00,FitnessAchiever,Twitter,#Fulfillment #FitnessGoals,22,45,India,2019,6,28,18,Accomplishment
137,Reverence for the artistry displayed in a museum.,Reverence,11/11/2020 15:00,ArtAppreciator,Instagram,#Reverence #ArtAppreciation,18,35,UK,2020,11,11,15,Curiosity/Awe
138,Elation after achieving a personal goal.,Elation,02/03/2021 9:00,GoalAchiever2,Facebook,#Elation #PersonalAchievement,25,50,USA,2021,3,2,9,Happiness
139,Elation over discovering a hidden gem in the city.,Elation,18/02/2012 15:00,UrbanExplorer2,Twitter,#Elation #HiddenGem,20,40,USA,2012,2,18,14,Happiness
140,The euphoria of a surprise birthday celebration.,Euphoria,05/11/2018 22:00,BirthdayJoy,Instagram,#Euphoria #BirthdaySurprise,15,30,UK,2018,11,5,21,Happiness
141,Contentment in the simplicity of a home-cooked meal.,Contentment,12/09/2015 13:00,HomeChef,Facebook,#Contentment #HomeCooking,25,50,India,2015,9,12,13,Contentment
142,Serenity found in the melody of a peaceful piano.,Serenity,30/07/2016 18:00,MusicLover4,Twitter,#Serenity #PeacefulMelody,18,35,Canada,2016,7,30,18,Contentment
143,Gratitude for the supportive community around me.,Gratitude,20/04/2013 11:00,CommunityLove,Instagram,#Gratitude #CommunitySupport,30,60,USA,2013,4,20,10,Gratitude
144,Hopeful about the prospects of a new business venture.,Hope,08/12/2017 19:00,EntrepreneurHope,Facebook,#Hope #BusinessVenture,22,45,Canada,2017,12,8,19,Hope
145,Empowerment through mentoring and guiding others.,Empowerment,03/06/2014 8:00,MentorEmpower,Twitter,#Empowerment #Mentorship,15,30,UK,2014,6,3,8,Empowerment
146,Compassion shown through acts of kindness in the community.,Compassion,15/01/2019 15:00,KindnessInAction,Instagram,#Compassion #CommunityKindness,18,35,Australia,2019,1,15,14,Compassion
147,Tenderness in a heartfelt message to a loved one.,Tenderness,25/12/2016 20:00,LoveExpress,Facebook,#Tenderness #LoveNote,25,50,UK,2016,12,25,19,Love
148,Arousal of excitement before a much-awaited trip.,Arousal,10/03/2018 10:00,TravelExcitement,Twitter,#Arousal #TravelAdventure,20,40,India,2018,3,10,9,Excitement
149,Enthusiasm for a new artistic project in the works.,Enthusiasm,17/09/2020 17:00,ArtisticSpirit,Instagram,#Enthusiasm #ArtisticProject,15,30,USA,2020,9,17,16,Excitement
150,Feeling a sense of fulfillment after helping others.,Fulfillment,28/08/2011 19:00,HelperHeart,Facebook,#Fulfillment #HelpingOthers,22,45,Canada,2011,8,28,18,Accomplishment
151,Reverence for the historical significance of a landmark.,Reverence,01/11/2017 15:00,HistoryBuff,Twitter,#Reverence #HistoricalSite,18,35,Australia,2017,11,1,15,Curiosity/Awe
152,Elation after achieving a fitness milestone.,Elation,15/06/2019 10:00,FitnessAchiever2,Instagram,#Elation #FitnessMilestone,25,50,UK,2019,6,15,10,Happiness
153,The euphoria of a successful product launch.,Euphoria,03/04/2022 12:00,ProductLaunchJoy,Facebook,#Euphoria #ProductLaunchSuccess,15,30,USA,2022,4,3,11,Happiness
154,Contentment in the embrace of a loved one.,Contentment,12/11/2010 20:00,LovingEmbrace,Twitter,#Contentment #Love,30,60,India,2010,11,12,20,Contentment
155,Serenity found in the beauty of a sunset by the sea.,Serenity,22/07/2011 18:00,SunsetWatcher2,Instagram,#Serenity #SunsetViews,22,45,Canada,2011,7,22,18,Contentment
156,Gratitude for the small joys that each day brings.,Gratitude,30/03/2012 11:00,JoyfulHeart2,Facebook,#Gratitude #SmallJoys,15,30,Australia,2012,3,30,11,Gratitude
157,Hopeful about the potential for personal growth.,Hope,05/10/2013 17:00,GrowthOptimist,Twitter,#Hope #PersonalDevelopment,18,35,UK,2013,10,5,16,Hope
158,Empowerment through learning a new skill.,Empowerment,10/07/2014 13:00,SkillEmpower,Instagram,#Empowerment #SkillBuilding,25,50,India,2014,7,10,13,Empowerment
159,Compassion in volunteering for a local charity.,Compassion,18/12/2015 14:00,CharityVolunteer,Facebook,#Compassion #VolunteerWork,18,35,USA,2015,12,18,14,Compassion
160,Tenderness in a quiet moment shared with a pet.,Tenderness,10/02/2016 20:00,PetLove,Twitter,#Tenderness #PetLove,25,50,Canada,2016,2,10,19,Love
161,Arousal of excitement for an upcoming festival.,Arousal,25/09/2017 12:00,FestivalFan,Instagram,#Arousal #FestivalExcitement,20,40,UK,2017,9,25,11,Excitement
162,Enthusiasm for a DIY home improvement project.,Enthusiasm,15/04/2018 16:00,DIYEnthusiast,Facebook,#Enthusiasm #HomeImprovement,15,30,Australia,2018,4,15,16,Excitement
163,Fulfillment in completing a challenging puzzle.,Fulfillment,28/11/2019 18:00,PuzzleMaster,Twitter,#Fulfillment #PuzzleChallenge,22,45,India,2019,11,28,18,Accomplishment
164,Reverence for the wonders of nature on a hiking trail.,Reverence,11/05/2020 15:00,NatureAdmirer,Instagram,#Reverence #NatureExploration,18,35,USA,2020,5,11,15,Curiosity/Awe
165,Elation after a surprise reunion with a childhood friend.,Elation,05/02/2021 9:00,ChildhoodJoy,Facebook,#Elation #FriendshipReunion,25,50,Canada,2021,2,5,9,Happiness
166,Suffering from despair after another setback.,Despair,10/03/2021 9:00,StrugglingSoul,Twitter,#Despair #Struggle,5,10,USA,2021,3,10,8,Sadness
167,"Overwhelmed by grief, missing a loved one dearly.",Grief,05/07/2022 16:00,MourningHeart,Instagram,#Grief #Loss,8,15,Canada,2022,7,5,15,Sadness
168,Loneliness creeps in as the night grows colder.,Loneliness,18/11/2019 21:00,SolitarySoul,Facebook,#Loneliness #Isolation,10,20,UK,2019,11,18,21,Loneliness
169,Jealousy consumes me as I witness others' success.,Jealousy,12/08/2020 12:00,EnviousObserver,Twitter,#Jealousy #Envy,12,25,India,2020,8,12,11,Jealousy/Envy
170,Resentment building up over past betrayals.,Resentment,22/05/2018 15:00,BitterHeart,Instagram,#Resentment #Bitterness,7,15,Australia,2018,5,22,14,Resentment
171,Frustration mounts as obstacles block my path.,Frustration,30/01/2017 16:00,BlockedGoals,Facebook,#Frustration #Obstacles,10,20,USA,2017,1,30,16,Frustration
